Vardas              Pavarde             ND1	   ND2	   ND3	   ND4	   ND5	   ND6	   ND7	   ND8	   ND9	   ND10	  Egz.
Vardas4067          Pavarde4067         8    	6    	1    	2    	10   	9    	5    	4    	5    	10   	2    	
Vardas4068          Pavarde4068         1    	8    	1    	10   	2    	2    	8    	10   	3    	4    	3    	
Vardas4069          Pavarde4069         4    	9    	3    	5    	3    	2    	1    	8    	10   	10   	10   	
Vardas4070          Pavarde4070         9    	3    	8    	5    	10   	6    	6    	10   	1    	2    	8    	
Vardas4071          Pavarde4071         2    	1    	8    	10   	1    	5    	1    	3    	5    	8    	10   	
Vardas4072          Pavarde4072         5    	5    	6    	2    	10   	10   	10   	8    	9    	4    	4    	
Vardas4073          Pavarde4073         6    	1    	10   	1    	3    	3    	5    	2    	10   	7    	8    	
Vardas4074          Pavarde4074         9    	7    	7    	7    	4    	3    	9    	5    	1    	3    	5    	
Vardas4075          Pavarde4075         8    	1    	10   	7    	2    	10   	9    	3    	10   	6    	8    	
Vardas4076          Pavarde4076         7    	6    	8    	10   	9    	3    	2    	9    	5    	7    	2    	
Vardas4077          Pavarde4077         6    	5    	7    	8    	2    	9    	1    	7    	3    	7    	7    	
Vardas4078          Pavarde4078         10   	2    	10   	5    	2    	6    	9    	10   	4    	1    	2    	
Vardas4079          Pavarde4079         1    	6    	7    	2    	10   	2    	5    	2    	1    	1    	8    	
Vardas4080          Pavarde4080         8    	6    	7    	8    	9    	5    	2    	1    	5    	1    	6    	
Vardas4081          Pavarde4081         10   	6    	5    	4    	4    	1    	5    	9    	7    	9    	8    	
Vardas4082          Pavarde4082         6    	10   	8    	5    	9    	4    	9    	1    	2    	7    	7    	
Vardas4083          Pavarde4083         3    	2    	2    	10   	4    	9    	9    	2    	4    	3    	10   	
Vardas4084          Pavarde4084         8    	5    	4    	3    	1    	5    	6    	10   	9    	5    	9    	
Vardas4085          Pavarde4085         10   	3    	10   	9    	2    	6    	4    	6    	6    	9    	2    	
Vardas4086          Pavarde4086         4    	9    	6    	9    	2    	6    	5    	6    	3    	8    	9    	
Vardas4087          Pavarde4087         5    	5    	8    	6    	9    	10   	4    	7    	6    	2    	8    	
Vardas4088          Pavarde4088         10   	8    	7    	7    	3    	4    	8    	9    	8    	8    	9    	
Vardas4089          Pavarde4089         7    	10   	6    	4    	4    	2    	4    	4    	8    	2    	6    	
Vardas4090          Pavarde4090         2    	2    	3    	2    	5    	6    	5    	9    	8    	1    	6    	
Vardas4091          Pavarde4091         4    	3    	10   	4    	3    	8    	10   	3    	8    	5    	9    	
Vardas4092          Pavarde4092         2    	6    	6    	9    	6    	6    	1    	4    	10   	4    	2    	
Vardas4093          Pavarde4093         7    	7    	3    	5    	6    	2    	9    	9    	1    	1    	8    	
Vardas4094          Pavarde4094         2    	3    	6    	1    	9    	1    	10   	8    	4    	1    	2    	
Vardas4095          Pavarde4095         4    	5    	1    	9    	5    	4    	9    	5    	7    	1    	2    	
Vardas4096          Pavarde4096         9    	9    	7    	2    	10   	9    	5    	8    	2    	10   	7    	
Vardas4097          Pavarde4097         10   	3    	9    	4    	1    	1    	2    	4    	3    	1    	4    	
Vardas4098          Pavarde4098         10   	5    	2    	6    	1    	9    	5    	7    	7    	9    	1    	
Vardas4099          Pavarde4099         7    	6    	3    	1    	2    	8    	10   	2    	5    	1    	3    	
Vardas4100          Pavarde4100         3    	2    	5    	7    	1    	3    	9    	9    	10   	4    	3    	
Vardas4101          Pavarde4101         9    	4    	2    	7    	6    	1    	2    	9    	4    	4    	3    	
Vardas4102          Pavarde4102         5    	2    	2    	7    	4    	10   	2    	1    	9    	3    	2    	
Vardas4103          Pavarde4103         1    	7    	4    	7    	7    	5    	10   	5    	3    	7    	6    	
Vardas4104          Pavarde4104         4    	7    	4    	1    	7    	4    	10   	3    	9    	6    	9    	
Vardas4105          Pavarde4105         2    	6    	7    	6    	2    	8    	2    	4    	4    	2    	4    	
Vardas4106          Pavarde4106         9    	7    	4    	10   	10   	3    	10   	9    	6    	3    	2    	
Vardas4107          Pavarde4107         2    	1    	10   	7    	7    	7    	6    	5    	2    	2    	2    	
Vardas4108          Pavarde4108         6    	3    	2    	2    	3    	7    	2    	5    	3    	5    	6    	
Vardas4109          Pavarde4109         5    	4    	9    	5    	2    	10   	8    	10   	4    	6    	2    	
Vardas4110          Pavarde4110         7    	7    	4    	4    	9    	10   	3    	7    	9    	1    	10   	
Vardas4111          Pavarde4111         9    	1    	8    	8    	6    	5    	7    	6    	8    	8    	10   	
Vardas4112          Pavarde4112         9    	3    	1    	10   	6    	1    	10   	10   	4    	6    	3    	
Vardas4113          Pavarde4113         10   	4    	5    	3    	7    	9    	2    	9    	5    	5    	7    	
Vardas4114          Pavarde4114         10   	3    	2    	7    	10   	7    	2    	5    	7    	1    	4    	
Vardas4115          Pavarde4115         8    	7    	10   	9    	5    	9    	8    	4    	1    	2    	3    	
Vardas4116          Pavarde4116         2    	1    	8    	5    	4    	5    	2    	4    	4    	1    	10   	
Vardas4117          Pavarde4117         3    	3    	6    	1    	7    	8    	10   	1    	2    	7    	8    	
Vardas4118          Pavarde4118         10   	4    	7    	6    	5    	9    	8    	4    	7    	6    	5    	
Vardas4119          Pavarde4119         2    	7    	2    	9    	10   	1    	8    	5    	10   	5    	3    	
Vardas4120          Pavarde4120         6    	7    	5    	4    	3    	9    	4    	4    	4    	8    	7    	
Vardas4121          Pavarde4121         3    	5    	3    	10   	7    	3    	5    	8    	5    	3    	2    	
Vardas4122          Pavarde4122         3    	6    	8    	4    	1    	9    	7    	7    	2    	7    	7    	
Vardas4123          Pavarde4123         2    	1    	1    	10   	3    	8    	9    	9    	3    	10   	7    	
Vardas4124          Pavarde4124         7    	8    	6    	10   	3    	9    	3    	9    	10   	8    	1    	
Vardas4125          Pavarde4125         4    	6    	10   	4    	5    	9    	10   	5    	9    	10   	5    	
Vardas4126          Pavarde4126         8    	2    	3    	10   	4    	3    	3    	9    	2    	8    	4    	
Vardas4127          Pavarde4127         7    	8    	5    	3    	1    	8    	3    	3    	4    	3    	9    	
Vardas4128          Pavarde4128         6    	9    	1    	7    	7    	6    	8    	6    	5    	1    	2    	
Vardas4129          Pavarde4129         4    	6    	4    	9    	7    	4    	8    	5    	5    	1    	1    	
Vardas4130          Pavarde4130         9    	7    	2    	1    	2    	10   	5    	2    	4    	4    	1    	
Vardas4131          Pavarde4131         8    	4    	2    	6    	6    	6    	9    	1    	8    	2    	6    	
Vardas4132          Pavarde4132         7    	6    	8    	7    	7    	10   	5    	4    	7    	4    	8    	
Vardas4133          Pavarde4133         1    	8    	10   	5    	3    	6    	3    	7    	4    	9    	3    	
Vardas4134          Pavarde4134         7    	7    	2    	6    	3    	10   	2    	3    	4    	6    	6    	
Vardas4135          Pavarde4135         2    	10   	6    	9    	3    	8    	2    	3    	8    	4    	9    	
Vardas4136          Pavarde4136         10   	3    	4    	5    	9    	2    	7    	6    	2    	3    	4    	
Vardas4137          Pavarde4137         9    	9    	8    	2    	6    	4    	6    	10   	6    	3    	4    	
Vardas4138          Pavarde4138         3    	2    	3    	7    	8    	7    	7    	10   	3    	2    	4    	
Vardas4139          Pavarde4139         7    	9    	6    	3    	8    	5    	5    	8    	4    	9    	8    	
Vardas4140          Pavarde4140         10   	7    	4    	6    	5    	5    	8    	2    	8    	7    	1    	
Vardas4141          Pavarde4141         7    	4    	6    	9    	9    	6    	6    	1    	1    	5    	9    	
Vardas4142          Pavarde4142         8    	5    	8    	8    	5    	6    	1    	4    	8    	6    	3    	
Vardas4143          Pavarde4143         9    	9    	8    	10   	4    	6    	8    	3    	9    	2    	3    	
Vardas4144          Pavarde4144         9    	7    	4    	3    	6    	9    	5    	9    	3    	2    	4    	
Vardas4145          Pavarde4145         2    	6    	4    	2    	3    	1    	3    	9    	4    	4    	5    	
Vardas4146          Pavarde4146         7    	4    	4    	2    	3    	3    	3    	4    	7    	10   	3    	
Vardas4147          Pavarde4147         8    	1    	6    	7    	6    	1    	5    	7    	5    	10   	6    	
Vardas4148          Pavarde4148         1    	10   	8    	3    	9    	2    	8    	9    	3    	8    	3    	
Vardas4149          Pavarde4149         10   	2    	7    	8    	4    	9    	4    	7    	8    	1    	2    	
Vardas4150          Pavarde4150         2    	3    	9    	1    	10   	8    	5    	5    	6    	6    	6    	
Vardas4151          Pavarde4151         10   	10   	8    	8    	3    	3    	1    	3    	3    	10   	7    	
Vardas4152          Pavarde4152         8    	3    	7    	6    	5    	9    	2    	1    	1    	4    	7    	
Vardas4153          Pavarde4153         4    	6    	10   	4    	6    	2    	3    	7    	9    	10   	10   	
Vardas4154          Pavarde4154         3    	4    	8    	10   	3    	5    	8    	7    	10   	7    	3    	
Vardas4155          Pavarde4155         2    	10   	5    	1    	3    	3    	7    	1    	3    	10   	2    	
Vardas4156          Pavarde4156         7    	6    	8    	2    	6    	2    	3    	4    	8    	6    	3    	
Vardas4157          Pavarde4157         6    	8    	1    	4    	6    	5    	3    	3    	1    	5    	7    	
Vardas4158          Pavarde4158         10   	3    	4    	9    	5    	2    	3    	8    	7    	2    	2    	
Vardas4159          Pavarde4159         6    	1    	4    	3    	4    	9    	6    	10   	8    	7    	4    	
Vardas4160          Pavarde4160         7    	10   	3    	6    	1    	1    	2    	4    	9    	5    	3    	
Vardas4161          Pavarde4161         3    	8    	2    	5    	5    	2    	3    	7    	2    	8    	7    	
Vardas4162          Pavarde4162         10   	1    	1    	2    	2    	8    	7    	7    	1    	3    	9    	
Vardas4163          Pavarde4163         5    	1    	2    	9    	2    	8    	7    	2    	10   	3    	5    	
Vardas4164          Pavarde4164         9    	1    	6    	9    	8    	1    	9    	5    	5    	3    	10   	
Vardas4165          Pavarde4165         6    	8    	5    	10   	6    	1    	6    	10   	10   	10   	4    	
Vardas4166          Pavarde4166         8    	4    	5    	9    	9    	3    	9    	10   	6    	8    	3    	
Vardas4167          Pavarde4167         4    	2    	1    	7    	5    	6    	7    	2    	3    	4    	3    	
Vardas4168          Pavarde4168         3    	10   	2    	7    	5    	5    	8    	1    	6    	4    	4    	
Vardas4169          Pavarde4169         1    	10   	4    	5    	10   	5    	6    	3    	8    	9    	6    	
Vardas4170          Pavarde4170         8    	6    	1    	8    	6    	2    	4    	5    	6    	6    	6    	
Vardas4171          Pavarde4171         1    	4    	7    	10   	6    	6    	7    	6    	6    	4    	10   	
Vardas4172          Pavarde4172         10   	6    	2    	1    	2    	1    	5    	2    	8    	8    	1    	
Vardas4173          Pavarde4173         3    	5    	7    	10   	7    	3    	6    	1    	3    	9    	1    	
Vardas4174          Pavarde4174         7    	7    	7    	6    	1    	7    	9    	3    	7    	10   	7    	
Vardas4175          Pavarde4175         6    	1    	4    	5    	3    	7    	7    	2    	8    	4    	1    	
Vardas4176          Pavarde4176         2    	2    	4    	10   	2    	6    	3    	9    	2    	8    	4    	
Vardas4177          Pavarde4177         5    	2    	5    	4    	5    	5    	9    	9    	5    	9    	7    	
Vardas4178          Pavarde4178         4    	7    	2    	5    	7    	7    	8    	2    	6    	6    	5    	
Vardas4179          Pavarde4179         9    	8    	5    	9    	8    	8    	4    	8    	1    	6    	2    	
Vardas4180          Pavarde4180         4    	5    	5    	8    	1    	4    	2    	4    	1    	10   	9    	
Vardas4181          Pavarde4181         6    	1    	1    	3    	6    	8    	2    	7    	6    	1    	7    	
Vardas4182          Pavarde4182         1    	5    	4    	9    	6    	9    	7    	6    	2    	6    	2    	
Vardas4183          Pavarde4183         5    	8    	9    	9    	3    	8    	6    	9    	1    	3    	10   	
Vardas4184          Pavarde4184         1    	2    	4    	9    	5    	6    	8    	6    	2    	7    	2    	
Vardas4185          Pavarde4185         5    	3    	1    	1    	9    	8    	1    	6    	4    	9    	3    	
Vardas4186          Pavarde4186         7    	9    	4    	6    	8    	8    	6    	5    	6    	8    	1    	
Vardas4187          Pavarde4187         9    	3    	9    	8    	7    	1    	10   	1    	9    	5    	9    	
Vardas4188          Pavarde4188         8    	2    	9    	5    	1    	7    	1    	10   	9    	5    	4    	
Vardas4189          Pavarde4189         1    	4    	10   	10   	2    	3    	8    	2    	8    	2    	5    	
Vardas4190          Pavarde4190         7    	7    	7    	5    	5    	6    	9    	10   	8    	10   	4    	
Vardas4191          Pavarde4191         3    	10   	7    	1    	5    	6    	3    	3    	7    	4    	1    	
Vardas4192          Pavarde4192         9    	1    	9    	10   	9    	1    	4    	10   	4    	9    	2    	
Vardas4193          Pavarde4193         9    	4    	4    	3    	6    	9    	9    	1    	10   	6    	6    	
Vardas4194          Pavarde4194         2    	2    	8    	6    	10   	1    	7    	7    	10   	2    	10   	
Vardas4195          Pavarde4195         10   	10   	3    	9    	8    	4    	3    	6    	9    	1    	5    	
Vardas4196          Pavarde4196         7    	10   	9    	5    	8    	2    	1    	9    	1    	10   	10   	
Vardas4197          Pavarde4197         2    	9    	9    	8    	6    	6    	4    	10   	3    	7    	7    	
Vardas4198          Pavarde4198         8    	7    	5    	7    	9    	10   	3    	9    	2    	10   	4    	
Vardas4199          Pavarde4199         4    	4    	10   	2    	3    	10   	8    	7    	8    	3    	7    	
Vardas4200          Pavarde4200         2    	9    	1    	9    	9    	9    	5    	9    	7    	7    	7    	
Vardas4201          Pavarde4201         1    	4    	2    	5    	10   	2    	4    	2    	6    	5    	6    	
Vardas4202          Pavarde4202         3    	1    	6    	10   	1    	10   	4    	5    	5    	5    	2    	
Vardas4203          Pavarde4203         10   	6    	1    	3    	4    	5    	2    	9    	10   	8    	7    	
Vardas4204          Pavarde4204         4    	2    	8    	3    	10   	2    	5    	8    	2    	5    	4    	
Vardas4205          Pavarde4205         7    	2    	10   	2    	7    	7    	8    	7    	6    	7    	9    	
Vardas4206          Pavarde4206         8    	3    	3    	9    	2    	10   	10   	9    	8    	5    	3    	
Vardas4207          Pavarde4207         4    	8    	5    	3    	10   	8    	1    	1    	5    	6    	3    	
Vardas4208          Pavarde4208         10   	10   	8    	3    	10   	3    	1    	10   	8    	6    	3    	
Vardas4209          Pavarde4209         5    	7    	2    	1    	5    	5    	8    	3    	8    	3    	6    	
Vardas4210          Pavarde4210         5    	3    	2    	5    	1    	1    	5    	9    	1    	8    	3    	
Vardas4211          Pavarde4211         6    	3    	7    	5    	10   	8    	1    	4    	4    	7    	8    	
Vardas4212          Pavarde4212         6    	1    	5    	3    	7    	5    	9    	2    	6    	3    	10   	
Vardas4213          Pavarde4213         2    	10   	4    	8    	8    	7    	4    	8    	6    	9    	7    	
Vardas4214          Pavarde4214         2    	9    	7    	9    	5    	10   	5    	6    	5    	7    	3    	
Vardas4215          Pavarde4215         6    	2    	7    	8    	10   	10   	3    	4    	3    	1    	10   	
Vardas4216          Pavarde4216         7    	10   	9    	1    	3    	8    	2    	5    	10   	10   	9    	
Vardas4217          Pavarde4217         5    	4    	9    	6    	5    	3    	5    	2    	9    	2    	2    	
Vardas4218          Pavarde4218         2    	3    	2    	7    	8    	9    	3    	2    	7    	9    	1    	
Vardas4219          Pavarde4219         1    	5    	1    	7    	10   	1    	6    	2    	3    	5    	8    	
Vardas4220          Pavarde4220         8    	1    	2    	8    	7    	9    	9    	7    	3    	10   	7    	
Vardas4221          Pavarde4221         4    	3    	9    	2    	10   	3    	7    	5    	1    	4    	7    	
Vardas4222          Pavarde4222         7    	10   	3    	2    	7    	6    	9    	9    	10   	5    	6    	
Vardas4223          Pavarde4223         2    	1    	5    	6    	2    	2    	7    	2    	2    	5    	2    	
Vardas4224          Pavarde4224         4    	4    	6    	8    	1    	6    	2    	5    	8    	9    	9    	
Vardas4225          Pavarde4225         8    	7    	3    	6    	1    	2    	6    	3    	5    	10   	7    	
Vardas4226          Pavarde4226         2    	1    	10   	8    	9    	9    	2    	1    	2    	2    	9    	
Vardas4227          Pavarde4227         5    	3    	9    	3    	1    	2    	3    	7    	10   	8    	2    	
Vardas4228          Pavarde4228         9    	8    	10   	10   	10   	1    	7    	10   	3    	8    	7    	
Vardas4229          Pavarde4229         3    	7    	3    	3    	10   	3    	6    	5    	7    	6    	6    	
Vardas4230          Pavarde4230         8    	7    	8    	8    	4    	8    	3    	5    	3    	9    	7    	
Vardas4231          Pavarde4231         3    	9    	10   	9    	7    	6    	7    	10   	5    	2    	7    	
Vardas4232          Pavarde4232         2    	3    	2    	3    	8    	5    	5    	5    	10   	2    	9    	
Vardas4233          Pavarde4233         9    	6    	7    	9    	2    	1    	5    	10   	10   	9    	9    	
Vardas4234          Pavarde4234         3    	1    	6    	10   	9    	1    	7    	10   	1    	7    	5    	
Vardas4235          Pavarde4235         2    	3    	2    	6    	5    	3    	10   	2    	2    	9    	2    	
Vardas4236          Pavarde4236         7    	2    	2    	4    	3    	6    	8    	4    	4    	4    	8    	
Vardas4237          Pavarde4237         9    	4    	10   	1    	5    	9    	7    	2    	7    	5    	5    	
Vardas4238          Pavarde4238         5    	9    	2    	7    	7    	4    	5    	8    	3    	1    	7    	
Vardas4239          Pavarde4239         2    	9    	5    	9    	2    	9    	8    	6    	10   	1    	6    	
Vardas4240          Pavarde4240         7    	3    	6    	8    	6    	6    	10   	2    	8    	4    	7    	
Vardas4241          Pavarde4241         1    	7    	5    	9    	1    	3    	3    	3    	3    	6    	3    	
Vardas4242          Pavarde4242         3    	7    	2    	4    	6    	4    	8    	6    	1    	4    	10   	
Vardas4243          Pavarde4243         4    	2    	3    	2    	4    	7    	10   	2    	2    	10   	1    	
Vardas4244          Pavarde4244         10   	8    	1    	5    	4    	6    	5    	4    	2    	7    	2    	
Vardas4245          Pavarde4245         8    	7    	5    	4    	8    	2    	9    	7    	3    	6    	3    	
Vardas4246          Pavarde4246         9    	5    	7    	2    	10   	10   	8    	6    	4    	7    	8    	
Vardas4247          Pavarde4247         1    	7    	3    	5    	1    	3    	7    	7    	10   	2    	2    	
Vardas4248          Pavarde4248         9    	1    	6    	2    	3    	2    	9    	7    	10   	5    	10   	
Vardas4249          Pavarde4249         4    	4    	2    	2    	5    	5    	6    	9    	10   	6    	10   	
Vardas4250          Pavarde4250         6    	4    	10   	7    	10   	1    	2    	6    	3    	2    	4    	
Vardas4251          Pavarde4251         8    	10   	9    	7    	8    	3    	7    	2    	8    	4    	9    	
Vardas4252          Pavarde4252         1    	4    	4    	1    	1    	3    	4    	5    	5    	6    	8    	
Vardas4253          Pavarde4253         2    	4    	1    	4    	5    	6    	1    	8    	3    	9    	10   	
Vardas4254          Pavarde4254         4    	6    	4    	10   	5    	8    	1    	2    	6    	3    	5    	
Vardas4255          Pavarde4255         1    	10   	9    	7    	1    	5    	7    	5    	2    	10   	1    	
Vardas4256          Pavarde4256         10   	6    	2    	9    	10   	9    	3    	1    	2    	8    	5    	
Vardas4257          Pavarde4257         9    	8    	3    	10   	1    	5    	8    	9    	3    	9    	8    	
Vardas4258          Pavarde4258         7    	8    	5    	9    	1    	6    	1    	5    	6    	8    	4    	
Vardas4259          Pavarde4259         3    	3    	9    	1    	9    	3    	10   	2    	4    	4    	10   	
Vardas4260          Pavarde4260         10   	4    	2    	1    	10   	8    	6    	9    	4    	1    	2    	
Vardas4261          Pavarde4261         2    	5    	2    	4    	7    	9    	10   	2    	2    	4    	7    	
Vardas4262          Pavarde4262         5    	7    	6    	3    	9    	10   	9    	3    	5    	4    	2    	
Vardas4263          Pavarde4263         3    	9    	4    	10   	6    	7    	5    	8    	6    	9    	7    	
Vardas4264          Pavarde4264         8    	6    	1    	4    	4    	7    	5    	4    	3    	7    	9    	
Vardas4265          Pavarde4265         6    	10   	1    	2    	8    	3    	7    	8    	1    	9    	8    	
Vardas4266          Pavarde4266         1    	5    	9    	10   	1    	1    	2    	3    	2    	5    	2    	
Vardas4267          Pavarde4267         3    	4    	2    	1    	2    	5    	1    	7    	6    	1    	2    	
Vardas4268          Pavarde4268         8    	8    	1    	6    	10   	8    	4    	8    	9    	10   	2    	
Vardas4269          Pavarde4269         10   	6    	1    	6    	9    	9    	6    	10   	2    	10   	2    	
Vardas4270          Pavarde4270         2    	7    	2    	2    	1    	4    	1    	5    	1    	7    	4    	
Vardas4271          Pavarde4271         9    	8    	10   	1    	6    	7    	10   	2    	4    	10   	10   	
Vardas4272          Pavarde4272         4    	9    	3    	5    	9    	4    	9    	1    	10   	2    	4    	
Vardas4273          Pavarde4273         2    	3    	6    	7    	10   	9    	6    	10   	2    	3    	5    	
Vardas4274          Pavarde4274         10   	6    	2    	8    	2    	2    	8    	2    	2    	10   	4    	
Vardas4275          Pavarde4275         3    	3    	6    	4    	8    	5    	1    	6    	3    	9    	8    	
Vardas4276          Pavarde4276         2    	6    	6    	6    	2    	3    	3    	1    	1    	5    	2    	
Vardas4277          Pavarde4277         5    	1    	7    	4    	6    	8    	9    	7    	6    	9    	10   	
Vardas4278          Pavarde4278         6    	7    	9    	5    	4    	2    	2    	7    	9    	10   	5    	
Vardas4279          Pavarde4279         8    	2    	8    	1    	9    	10   	2    	7    	8    	4    	6    	
Vardas4280          Pavarde4280         4    	10   	7    	10   	5    	1    	8    	1    	1    	7    	3    	
Vardas4281          Pavarde4281         9    	8    	1    	6    	5    	7    	3    	3    	4    	7    	5    	
Vardas4282          Pavarde4282         3    	5    	7    	9    	4    	8    	7    	5    	8    	3    	10   	
Vardas4283          Pavarde4283         8    	3    	5    	8    	1    	4    	4    	4    	5    	8    	10   	
Vardas4284          Pavarde4284         7    	9    	7    	2    	5    	2    	9    	3    	8    	7    	8    	
Vardas4285          Pavarde4285         1    	4    	3    	3    	1    	9    	1    	3    	2    	2    	7    	
Vardas4286          Pavarde4286         7    	7    	4    	1    	9    	4    	1    	10   	8    	6    	10   	
Vardas4287          Pavarde4287         3    	7    	8    	2    	5    	10   	1    	8    	1    	3    	4    	
Vardas4288          Pavarde4288         10   	1    	6    	7    	6    	4    	3    	3    	7    	8    	2    	
Vardas4289          Pavarde4289         5    	1    	1    	7    	3    	10   	3    	5    	7    	5    	1    	
Vardas4290          Pavarde4290         6    	9    	3    	1    	8    	7    	10   	6    	3    	9    	9    	
Vardas4291          Pavarde4291         9    	4    	9    	4    	8    	10   	2    	4    	10   	6    	5    	
Vardas4292          Pavarde4292         9    	10   	10   	5    	7    	6    	5    	10   	7    	1    	3    	
Vardas4293          Pavarde4293         1    	3    	10   	7    	3    	5    	6    	6    	6    	8    	9    	
Vardas4294          Pavarde4294         3    	8    	10   	2    	9    	1    	10   	6    	10   	5    	6    	
Vardas4295          Pavarde4295         2    	6    	8    	10   	8    	7    	4    	8    	5    	7    	10   	
Vardas4296          Pavarde4296         7    	8    	8    	5    	10   	4    	6    	2    	10   	2    	10   	
Vardas4297          Pavarde4297         4    	5    	6    	9    	5    	9    	10   	1    	5    	9    	3    	
Vardas4298          Pavarde4298         1    	10   	2    	3    	5    	3    	4    	1    	9    	6    	5    	
Vardas4299          Pavarde4299         2    	1    	3    	5    	9    	10   	3    	5    	3    	4    	7    	
Vardas4300          Pavarde4300         3    	1    	2    	5    	7    	1    	5    	3    	9    	4    	5    	
Vardas4301          Pavarde4301         10   	1    	2    	3    	2    	6    	6    	2    	1    	10   	7    	
Vardas4302          Pavarde4302         8    	10   	3    	4    	5    	6    	5    	6    	10   	9    	10   	
Vardas4303          Pavarde4303         7    	3    	8    	2    	1    	8    	4    	4    	3    	3    	5    	
Vardas4304          Pavarde4304         7    	10   	2    	2    	8    	5    	10   	6    	6    	10   	2    	
Vardas4305          Pavarde4305         1    	4    	6    	1    	9    	4    	2    	10   	4    	3    	7    	
Vardas4306          Pavarde4306         10   	10   	5    	8    	1    	7    	4    	8    	3    	10   	8    	
Vardas4307          Pavarde4307         1    	5    	7    	6    	7    	2    	10   	9    	5    	4    	7    	
Vardas4308          Pavarde4308         4    	10   	7    	2    	7    	6    	9    	5    	2    	6    	4    	
Vardas4309          Pavarde4309         1    	4    	2    	7    	3    	6    	2    	8    	10   	8    	1    	
Vardas4310          Pavarde4310         3    	3    	7    	10   	7    	3    	10   	8    	4    	3    	5    	
Vardas4311          Pavarde4311         7    	3    	3    	7    	3    	7    	10   	3    	1    	2    	3    	
Vardas4312          Pavarde4312         1    	2    	3    	1    	4    	7    	8    	5    	1    	9    	2    	
Vardas4313          Pavarde4313         3    	5    	6    	3    	3    	6    	10   	2    	8    	4    	6    	
Vardas4314          Pavarde4314         2    	9    	1    	4    	6    	6    	10   	5    	4    	4    	3    	
Vardas4315          Pavarde4315         8    	6    	7    	4    	10   	2    	10   	10   	9    	1    	9    	
Vardas4316          Pavarde4316         3    	8    	6    	1    	2    	2    	2    	10   	4    	10   	1    	
Vardas4317          Pavarde4317         1    	9    	5    	7    	2    	4    	2    	1    	2    	4    	7    	
Vardas4318          Pavarde4318         4    	8    	4    	2    	3    	3    	4    	4    	2    	9    	9    	
Vardas4319          Pavarde4319         4    	1    	9    	10   	3    	8    	8    	4    	4    	10   	4    	
Vardas4320          Pavarde4320         7    	4    	9    	5    	8    	4    	5    	10   	7    	10   	3    	
Vardas4321          Pavarde4321         9    	6    	4    	10   	7    	5    	9    	3    	1    	1    	7    	
Vardas4322          Pavarde4322         9    	9    	6    	7    	2    	8    	3    	1    	2    	4    	10   	
Vardas4323          Pavarde4323         1    	5    	7    	4    	2    	6    	6    	4    	4    	1    	5    	
Vardas4324          Pavarde4324         10   	9    	2    	1    	6    	4    	9    	2    	6    	9    	2    	
Vardas4325          Pavarde4325         6    	4    	2    	8    	6    	1    	2    	5    	10   	1    	4    	
Vardas4326          Pavarde4326         8    	7    	2    	4    	8    	8    	7    	2    	4    	4    	6    	
Vardas4327          Pavarde4327         8    	3    	9    	5    	5    	5    	6    	4    	4    	1    	8    	
Vardas4328          Pavarde4328         8    	7    	8    	5    	4    	1    	8    	1    	4    	4    	7    	
Vardas4329          Pavarde4329         1    	10   	3    	3    	8    	4    	7    	1    	7    	6    	5    	
Vardas4330          Pavarde4330         8    	6    	6    	8    	8    	8    	10   	4    	2    	7    	8    	
Vardas4331          Pavarde4331         2    	3    	3    	6    	1    	5    	10   	3    	5    	6    	6    	
Vardas4332          Pavarde4332         9    	10   	2    	4    	8    	8    	7    	3    	4    	8    	4    	
Vardas4333          Pavarde4333         7    	5    	4    	5    	2    	10   	2    	10   	8    	5    	3    	
Vardas4334          Pavarde4334         1    	5    	9    	2    	7    	9    	3    	2    	2    	8    	3    	
Vardas4335          Pavarde4335         9    	2    	5    	10   	2    	9    	10   	8    	2    	5    	9    	
Vardas4336          Pavarde4336         4    	5    	6    	9    	3    	5    	4    	6    	3    	10   	10   	
Vardas4337          Pavarde4337         3    	9    	8    	6    	5    	6    	5    	6    	8    	3    	4    	
Vardas4338          Pavarde4338         7    	1    	5    	7    	5    	8    	6    	6    	10   	3    	6    	
Vardas4339          Pavarde4339         5    	9    	9    	4    	10   	6    	7    	9    	8    	4    	9    	
Vardas4340          Pavarde4340         6    	9    	6    	7    	3    	6    	1    	8    	2    	8    	1    	
Vardas4341          Pavarde4341         7    	3    	10   	1    	8    	10   	6    	3    	10   	9    	9    	
Vardas4342          Pavarde4342         3    	9    	2    	3    	2    	6    	1    	7    	3    	5    	6    	
Vardas4343          Pavarde4343         10   	3    	9    	8    	7    	7    	5    	2    	6    	8    	10   	
Vardas4344          Pavarde4344         1    	7    	8    	4    	6    	7    	2    	7    	9    	9    	6    	
Vardas4345          Pavarde4345         8    	9    	2    	7    	1    	3    	10   	10   	10   	1    	7    	
Vardas4346          Pavarde4346         7    	10   	5    	3    	7    	6    	1    	8    	1    	8    	7    	
Vardas4347          Pavarde4347         9    	9    	4    	5    	2    	8    	5    	8    	8    	7    	1    	
Vardas4348          Pavarde4348         1    	3    	2    	3    	2    	1    	8    	8    	8    	9    	2    	
Vardas4349          Pavarde4349         2    	4    	7    	2    	9    	5    	3    	3    	9    	2    	3    	
Vardas4350          Pavarde4350         4    	9    	3    	8    	2    	3    	2    	9    	6    	3    	4    	
