Vardas              Pavarde             ND1	   ND2	   ND3	   ND4	   ND5	   ND6	   ND7	   ND8	   ND9	   ND10	  Egz.
Vardas592           Pavarde592          8    	6    	1    	3    	3    	2    	10   	3    	1    	9    	6    	
Vardas593           Pavarde593          8    	4    	9    	7    	3    	6    	6    	7    	5    	1    	10   	
Vardas594           Pavarde594          1    	8    	7    	4    	9    	6    	7    	3    	9    	6    	7    	
Vardas595           Pavarde595          3    	1    	10   	4    	8    	9    	9    	7    	8    	7    	8    	
Vardas596           Pavarde596          6    	7    	7    	1    	10   	1    	3    	9    	8    	3    	3    	
Vardas597           Pavarde597          4    	8    	2    	2    	2    	8    	9    	1    	7    	9    	3    	
Vardas598           Pavarde598          6    	10   	10   	7    	3    	2    	5    	1    	10   	7    	9    	
Vardas599           Pavarde599          9    	7    	7    	5    	10   	1    	3    	10   	8    	3    	9    	
Vardas600           Pavarde600          9    	9    	7    	5    	4    	2    	5    	9    	4    	6    	4    	
Vardas601           Pavarde601          2    	8    	1    	5    	3    	7    	10   	1    	3    	10   	8    	
Vardas602           Pavarde602          10   	8    	7    	4    	2    	8    	8    	7    	3    	9    	5    	
Vardas603           Pavarde603          2    	7    	2    	8    	3    	2    	8    	9    	4    	9    	9    	
Vardas604           Pavarde604          7    	8    	3    	3    	10   	6    	5    	9    	2    	5    	7    	
Vardas605           Pavarde605          8    	7    	10   	4    	1    	5    	2    	9    	1    	2    	5    	
Vardas606           Pavarde606          10   	7    	9    	9    	2    	7    	4    	3    	10   	1    	2    	
Vardas607           Pavarde607          2    	2    	9    	2    	5    	2    	7    	4    	2    	5    	4    	
Vardas608           Pavarde608          7    	2    	4    	5    	1    	9    	2    	7    	4    	8    	10   	
Vardas609           Pavarde609          5    	2    	1    	8    	6    	5    	2    	10   	4    	8    	4    	
Vardas610           Pavarde610          4    	9    	6    	6    	8    	5    	10   	7    	2    	7    	8    	
Vardas611           Pavarde611          9    	1    	9    	6    	3    	3    	3    	7    	6    	3    	8    	
Vardas612           Pavarde612          1    	4    	3    	5    	2    	2    	3    	10   	6    	2    	5    	
Vardas613           Pavarde613          1    	3    	7    	3    	7    	9    	4    	6    	4    	9    	4    	
Vardas614           Pavarde614          9    	3    	4    	8    	7    	6    	7    	6    	9    	1    	1    	
Vardas615           Pavarde615          4    	2    	6    	7    	4    	2    	8    	4    	4    	2    	3    	
Vardas616           Pavarde616          1    	8    	2    	9    	3    	10   	3    	10   	10   	6    	8    	
Vardas617           Pavarde617          1    	8    	9    	9    	3    	9    	3    	9    	6    	10   	9    	
Vardas618           Pavarde618          10   	8    	10   	7    	4    	10   	10   	1    	1    	3    	5    	
Vardas619           Pavarde619          3    	1    	5    	10   	9    	4    	9    	5    	6    	3    	8    	
Vardas620           Pavarde620          3    	5    	9    	9    	5    	10   	4    	7    	6    	9    	3    	
Vardas621           Pavarde621          3    	3    	8    	4    	1    	9    	6    	1    	5    	7    	7    	
Vardas622           Pavarde622          8    	3    	6    	6    	7    	6    	4    	9    	3    	5    	1    	
Vardas623           Pavarde623          2    	1    	2    	7    	6    	7    	4    	1    	1    	10   	1    	
Vardas624           Pavarde624          10   	7    	8    	7    	1    	4    	7    	4    	2    	4    	4    	
Vardas625           Pavarde625          2    	7    	3    	6    	5    	8    	6    	9    	10   	10   	9    	
Vardas626           Pavarde626          7    	3    	10   	10   	10   	1    	5    	2    	6    	4    	9    	
Vardas627           Pavarde627          10   	3    	10   	5    	3    	5    	1    	8    	4    	5    	6    	
Vardas628           Pavarde628          10   	9    	4    	6    	1    	5    	5    	6    	9    	6    	2    	
Vardas629           Pavarde629          4    	2    	7    	9    	4    	6    	2    	10   	4    	4    	10   	
Vardas630           Pavarde630          1    	8    	3    	7    	6    	10   	5    	1    	10   	10   	10   	
Vardas631           Pavarde631          10   	9    	3    	1    	2    	3    	6    	1    	1    	3    	7    	
Vardas632           Pavarde632          8    	9    	8    	3    	8    	6    	2    	8    	2    	3    	9    	
Vardas633           Pavarde633          6    	9    	4    	3    	10   	3    	6    	5    	9    	8    	4    	
Vardas634           Pavarde634          9    	8    	3    	9    	10   	10   	3    	5    	5    	2    	10   	
Vardas635           Pavarde635          6    	7    	7    	2    	6    	5    	3    	5    	5    	8    	10   	
Vardas636           Pavarde636          8    	6    	10   	3    	9    	8    	2    	3    	1    	8    	1    	
Vardas637           Pavarde637          2    	2    	9    	9    	8    	8    	2    	10   	5    	9    	6    	
Vardas638           Pavarde638          5    	2    	3    	4    	2    	9    	8    	10   	1    	8    	1    	
Vardas639           Pavarde639          1    	2    	4    	1    	10   	4    	8    	4    	8    	3    	1    	
Vardas640           Pavarde640          4    	6    	5    	7    	9    	9    	3    	1    	6    	9    	2    	
Vardas641           Pavarde641          9    	2    	10   	3    	6    	8    	3    	2    	6    	10   	2    	
Vardas642           Pavarde642          8    	1    	7    	7    	10   	2    	7    	4    	9    	6    	8    	
Vardas643           Pavarde643          9    	7    	9    	4    	5    	7    	8    	6    	10   	8    	2    	
Vardas644           Pavarde644          8    	10   	10   	1    	8    	4    	1    	3    	7    	9    	4    	
Vardas645           Pavarde645          4    	2    	7    	2    	5    	1    	10   	8    	5    	3    	6    	
Vardas646           Pavarde646          7    	9    	2    	8    	8    	9    	7    	7    	8    	10   	10   	
Vardas647           Pavarde647          8    	7    	10   	3    	3    	10   	1    	8    	2    	10   	10   	
Vardas648           Pavarde648          7    	7    	2    	5    	7    	6    	10   	1    	10   	9    	6    	
Vardas649           Pavarde649          3    	4    	5    	9    	1    	3    	4    	9    	3    	5    	7    	
Vardas650           Pavarde650          3    	3    	8    	5    	3    	2    	7    	9    	3    	10   	10   	
Vardas651           Pavarde651          2    	4    	3    	4    	2    	8    	7    	1    	9    	10   	5    	
Vardas652           Pavarde652          8    	9    	9    	1    	3    	9    	10   	2    	7    	2    	8    	
Vardas653           Pavarde653          1    	5    	5    	10   	2    	8    	2    	1    	7    	7    	7    	
Vardas654           Pavarde654          8    	1    	1    	5    	6    	3    	3    	8    	3    	6    	7    	
Vardas655           Pavarde655          1    	6    	6    	6    	8    	7    	2    	5    	9    	5    	2    	
Vardas656           Pavarde656          8    	10   	1    	2    	4    	5    	4    	4    	8    	8    	8    	
Vardas657           Pavarde657          3    	8    	10   	3    	2    	3    	9    	4    	3    	1    	6    	
Vardas658           Pavarde658          8    	9    	1    	9    	7    	3    	3    	4    	8    	1    	1    	
Vardas659           Pavarde659          2    	2    	4    	9    	2    	3    	10   	7    	10   	3    	3    	
Vardas660           Pavarde660          2    	1    	5    	6    	3    	4    	1    	7    	2    	9    	3    	
Vardas661           Pavarde661          3    	2    	6    	2    	2    	5    	10   	6    	2    	8    	3    	
Vardas662           Pavarde662          9    	2    	8    	8    	6    	1    	6    	5    	9    	3    	6    	
Vardas663           Pavarde663          4    	10   	6    	8    	5    	1    	3    	5    	2    	5    	7    	
Vardas664           Pavarde664          7    	2    	2    	5    	6    	6    	10   	4    	7    	4    	3    	
Vardas665           Pavarde665          7    	5    	5    	3    	1    	2    	9    	9    	8    	7    	2    	
Vardas666           Pavarde666          1    	1    	4    	10   	3    	3    	8    	10   	9    	3    	1    	
Vardas667           Pavarde667          5    	3    	3    	3    	6    	5    	3    	3    	4    	7    	9    	
Vardas668           Pavarde668          2    	3    	8    	5    	8    	2    	3    	10   	1    	5    	2    	
Vardas669           Pavarde669          7    	9    	1    	7    	4    	6    	5    	2    	2    	7    	4    	
Vardas670           Pavarde670          8    	8    	4    	10   	7    	7    	7    	5    	10   	1    	7    	
Vardas671           Pavarde671          2    	4    	2    	1    	6    	9    	1    	5    	5    	2    	10   	
Vardas672           Pavarde672          9    	5    	2    	1    	3    	1    	10   	7    	3    	5    	2    	
Vardas673           Pavarde673          1    	2    	3    	10   	6    	9    	9    	8    	5    	2    	6    	
Vardas674           Pavarde674          7    	3    	1    	6    	2    	10   	9    	6    	5    	3    	7    	
Vardas675           Pavarde675          10   	7    	10   	8    	9    	10   	7    	6    	2    	5    	6    	
Vardas676           Pavarde676          5    	10   	7    	5    	9    	8    	8    	6    	1    	9    	8    	
Vardas677           Pavarde677          8    	6    	1    	5    	2    	5    	4    	1    	6    	7    	2    	
Vardas678           Pavarde678          3    	10   	8    	2    	2    	5    	1    	3    	8    	7    	9    	
Vardas679           Pavarde679          9    	1    	3    	1    	5    	5    	8    	4    	7    	9    	7    	
Vardas680           Pavarde680          2    	5    	10   	4    	5    	7    	7    	5    	8    	9    	3    	
Vardas681           Pavarde681          8    	8    	6    	4    	4    	4    	1    	8    	5    	2    	8    	
Vardas682           Pavarde682          4    	3    	4    	1    	9    	5    	3    	6    	3    	5    	2    	
Vardas683           Pavarde683          8    	5    	8    	1    	9    	4    	7    	1    	3    	4    	8    	
Vardas684           Pavarde684          1    	3    	5    	4    	3    	7    	9    	2    	10   	7    	4    	
Vardas685           Pavarde685          8    	9    	2    	10   	6    	5    	4    	1    	9    	2    	3    	
Vardas686           Pavarde686          3    	7    	2    	9    	6    	7    	7    	7    	1    	7    	2    	
Vardas687           Pavarde687          7    	2    	5    	2    	6    	3    	2    	4    	1    	2    	7    	
Vardas688           Pavarde688          5    	7    	6    	10   	6    	9    	2    	6    	6    	8    	8    	
Vardas689           Pavarde689          9    	5    	6    	10   	2    	6    	7    	2    	7    	5    	7    	
Vardas690           Pavarde690          9    	4    	6    	6    	1    	7    	9    	8    	9    	1    	8    	
Vardas691           Pavarde691          1    	9    	8    	4    	5    	4    	10   	10   	10   	6    	8    	
Vardas692           Pavarde692          1    	1    	2    	8    	4    	8    	4    	4    	5    	6    	4    	
Vardas693           Pavarde693          1    	1    	3    	8    	3    	10   	5    	3    	9    	7    	2    	
Vardas694           Pavarde694          10   	3    	8    	6    	6    	9    	8    	7    	7    	6    	8    	
Vardas695           Pavarde695          2    	4    	6    	1    	3    	8    	6    	6    	5    	6    	5    	
Vardas696           Pavarde696          3    	8    	10   	10   	5    	8    	6    	9    	7    	3    	3    	
Vardas697           Pavarde697          1    	9    	7    	2    	4    	10   	7    	3    	8    	8    	1    	
Vardas698           Pavarde698          9    	10   	10   	9    	1    	4    	9    	8    	3    	10   	2    	
Vardas699           Pavarde699          6    	10   	2    	8    	6    	4    	7    	10   	9    	6    	4    	
Vardas700           Pavarde700          5    	3    	1    	3    	10   	9    	4    	4    	5    	4    	4    	
Vardas701           Pavarde701          1    	4    	4    	1    	10   	1    	6    	10   	5    	8    	4    	
Vardas702           Pavarde702          8    	3    	2    	2    	10   	4    	8    	4    	1    	4    	7    	
Vardas703           Pavarde703          1    	8    	5    	4    	2    	4    	4    	8    	6    	5    	2    	
Vardas704           Pavarde704          3    	5    	6    	9    	5    	5    	9    	9    	7    	9    	6    	
Vardas705           Pavarde705          9    	2    	4    	7    	1    	7    	10   	4    	9    	6    	9    	
Vardas706           Pavarde706          8    	7    	1    	10   	8    	1    	1    	10   	1    	1    	2    	
Vardas707           Pavarde707          3    	5    	4    	9    	2    	8    	4    	5    	1    	7    	7    	
Vardas708           Pavarde708          7    	10   	6    	5    	2    	6    	7    	8    	4    	7    	9    	
Vardas709           Pavarde709          2    	2    	8    	1    	3    	1    	8    	10   	5    	1    	2    	
Vardas710           Pavarde710          2    	10   	5    	2    	5    	2    	9    	1    	10   	3    	9    	
Vardas711           Pavarde711          8    	1    	6    	3    	7    	8    	6    	9    	6    	2    	4    	
Vardas712           Pavarde712          1    	4    	6    	5    	5    	3    	6    	8    	4    	2    	7    	
Vardas713           Pavarde713          3    	1    	8    	6    	6    	4    	5    	9    	3    	3    	3    	
Vardas714           Pavarde714          4    	1    	2    	8    	8    	2    	3    	8    	3    	10   	2    	
Vardas715           Pavarde715          7    	3    	8    	10   	3    	6    	7    	6    	8    	1    	9    	
Vardas716           Pavarde716          6    	8    	4    	6    	10   	8    	7    	8    	4    	2    	6    	
Vardas717           Pavarde717          4    	6    	3    	10   	2    	10   	5    	10   	3    	4    	10   	
Vardas718           Pavarde718          10   	10   	7    	5    	3    	9    	6    	10   	10   	9    	7    	
Vardas719           Pavarde719          9    	1    	1    	9    	7    	5    	1    	9    	7    	10   	1    	
Vardas720           Pavarde720          9    	10   	7    	4    	8    	7    	7    	7    	4    	9    	6    	
Vardas721           Pavarde721          3    	10   	9    	5    	7    	6    	2    	5    	6    	2    	2    	
Vardas722           Pavarde722          10   	9    	10   	3    	10   	6    	9    	4    	10   	6    	8    	
Vardas723           Pavarde723          9    	1    	7    	3    	9    	9    	4    	10   	1    	3    	1    	
Vardas724           Pavarde724          3    	10   	1    	1    	8    	8    	6    	6    	7    	4    	10   	
Vardas725           Pavarde725          2    	5    	9    	9    	1    	9    	8    	6    	1    	7    	2    	
Vardas726           Pavarde726          8    	5    	6    	1    	10   	8    	2    	7    	6    	3    	7    	
Vardas727           Pavarde727          2    	7    	3    	8    	2    	7    	9    	6    	2    	4    	3    	
Vardas728           Pavarde728          4    	8    	6    	7    	5    	7    	9    	3    	7    	4    	6    	
Vardas729           Pavarde729          2    	6    	8    	4    	6    	7    	10   	2    	10   	1    	9    	
Vardas730           Pavarde730          6    	4    	9    	2    	1    	9    	6    	7    	2    	5    	4    	
Vardas731           Pavarde731          5    	7    	2    	6    	7    	1    	6    	5    	6    	2    	6    	
Vardas732           Pavarde732          2    	7    	7    	7    	5    	9    	8    	7    	6    	9    	9    	
Vardas733           Pavarde733          7    	3    	3    	7    	1    	8    	7    	2    	1    	4    	3    	
Vardas734           Pavarde734          5    	5    	2    	4    	4    	3    	8    	8    	10   	10   	1    	
Vardas735           Pavarde735          10   	6    	7    	3    	5    	9    	7    	6    	8    	9    	6    	
Vardas736           Pavarde736          4    	10   	3    	1    	9    	5    	3    	2    	4    	8    	2    	
Vardas737           Pavarde737          7    	10   	10   	1    	2    	5    	6    	4    	9    	5    	4    	
Vardas738           Pavarde738          4    	6    	2    	8    	6    	9    	1    	10   	7    	2    	1    	
Vardas739           Pavarde739          5    	6    	2    	6    	8    	6    	10   	6    	10   	4    	10   	
Vardas740           Pavarde740          7    	10   	5    	3    	10   	1    	9    	10   	10   	1    	4    	
Vardas741           Pavarde741          7    	5    	1    	5    	8    	8    	6    	4    	1    	5    	9    	
Vardas742           Pavarde742          6    	9    	10   	6    	6    	6    	6    	7    	2    	7    	3    	
Vardas743           Pavarde743          7    	9    	5    	5    	2    	4    	7    	2    	3    	7    	3    	
Vardas744           Pavarde744          1    	10   	6    	4    	3    	2    	10   	1    	8    	3    	2    	
Vardas745           Pavarde745          10   	2    	1    	7    	6    	8    	5    	8    	6    	6    	10   	
Vardas746           Pavarde746          6    	9    	7    	4    	6    	2    	1    	6    	5    	5    	4    	
Vardas747           Pavarde747          9    	10   	6    	1    	9    	2    	1    	2    	8    	7    	2    	
Vardas748           Pavarde748          7    	7    	3    	5    	8    	9    	5    	8    	4    	3    	8    	
Vardas749           Pavarde749          8    	8    	7    	1    	9    	1    	2    	2    	1    	7    	3    	
Vardas750           Pavarde750          5    	3    	9    	5    	2    	4    	3    	1    	7    	3    	10   	
Vardas751           Pavarde751          5    	6    	5    	9    	9    	5    	3    	3    	6    	8    	4    	
Vardas752           Pavarde752          1    	6    	1    	10   	5    	10   	4    	2    	3    	3    	10   	
Vardas753           Pavarde753          6    	9    	7    	5    	3    	4    	4    	8    	5    	9    	6    	
Vardas754           Pavarde754          6    	10   	9    	6    	1    	7    	2    	3    	1    	5    	4    	
Vardas755           Pavarde755          7    	6    	1    	6    	1    	1    	3    	7    	8    	7    	5    	
Vardas756           Pavarde756          4    	3    	9    	10   	2    	1    	10   	10   	5    	4    	6    	
Vardas757           Pavarde757          9    	5    	2    	2    	6    	2    	1    	8    	9    	10   	1    	
Vardas758           Pavarde758          8    	9    	9    	10   	6    	5    	7    	4    	6    	5    	6    	
Vardas759           Pavarde759          4    	2    	3    	3    	10   	6    	4    	5    	5    	8    	7    	
Vardas760           Pavarde760          9    	4    	4    	6    	9    	8    	10   	4    	9    	3    	7    	
Vardas761           Pavarde761          10   	3    	7    	3    	4    	7    	1    	2    	2    	6    	7    	
Vardas762           Pavarde762          8    	2    	10   	2    	9    	10   	3    	7    	4    	2    	10   	
Vardas763           Pavarde763          4    	6    	2    	5    	6    	4    	2    	5    	9    	2    	4    	
Vardas764           Pavarde764          4    	4    	9    	6    	5    	3    	6    	4    	9    	2    	4    	
Vardas765           Pavarde765          2    	8    	8    	10   	4    	6    	9    	1    	1    	6    	10   	
Vardas766           Pavarde766          1    	5    	7    	10   	7    	2    	9    	10   	1    	4    	5    	
Vardas767           Pavarde767          8    	2    	2    	9    	5    	2    	2    	4    	6    	1    	5    	
Vardas768           Pavarde768          4    	5    	1    	7    	9    	10   	6    	1    	10   	5    	6    	
Vardas769           Pavarde769          6    	9    	6    	10   	10   	4    	6    	9    	9    	4    	6    	
Vardas770           Pavarde770          1    	5    	9    	6    	3    	6    	7    	4    	2    	9    	9    	
Vardas771           Pavarde771          6    	5    	7    	4    	4    	4    	10   	7    	10   	10   	3    	
Vardas772           Pavarde772          8    	3    	3    	9    	5    	5    	5    	8    	5    	1    	5    	
Vardas773           Pavarde773          4    	3    	7    	1    	10   	4    	4    	2    	4    	4    	3    	
Vardas774           Pavarde774          7    	6    	8    	7    	6    	4    	8    	1    	1    	8    	2    	
Vardas775           Pavarde775          3    	6    	3    	6    	10   	10   	4    	6    	6    	2    	7    	
Vardas776           Pavarde776          4    	3    	3    	8    	1    	7    	3    	4    	8    	6    	6    	
Vardas777           Pavarde777          1    	7    	3    	7    	2    	8    	1    	9    	2    	4    	10   	
Vardas778           Pavarde778          1    	5    	5    	9    	5    	8    	8    	4    	7    	7    	1    	
Vardas779           Pavarde779          4    	3    	7    	1    	7    	8    	5    	7    	3    	9    	1    	
Vardas780           Pavarde780          6    	8    	3    	10   	1    	1    	9    	6    	8    	4    	8    	
Vardas781           Pavarde781          5    	10   	9    	9    	7    	4    	3    	1    	8    	2    	6    	
Vardas782           Pavarde782          9    	4    	6    	3    	8    	1    	7    	6    	2    	6    	4    	
Vardas783           Pavarde783          3    	7    	2    	1    	4    	10   	3    	4    	8    	2    	10   	
Vardas784           Pavarde784          5    	3    	2    	5    	2    	4    	4    	7    	8    	4    	4    	
Vardas785           Pavarde785          9    	6    	6    	1    	9    	6    	4    	1    	6    	1    	9    	
Vardas786           Pavarde786          9    	3    	1    	9    	2    	6    	4    	2    	7    	9    	8    	
Vardas787           Pavarde787          3    	4    	9    	8    	7    	8    	6    	3    	1    	7    	4    	
Vardas788           Pavarde788          6    	8    	8    	5    	4    	7    	1    	7    	2    	5    	8    	
Vardas789           Pavarde789          2    	7    	7    	4    	7    	4    	3    	1    	5    	8    	5    	
Vardas790           Pavarde790          9    	9    	1    	2    	7    	8    	2    	5    	1    	10   	10   	
Vardas791           Pavarde791          7    	3    	7    	9    	7    	8    	2    	10   	6    	6    	1    	
Vardas792           Pavarde792          7    	4    	1    	3    	5    	6    	5    	6    	7    	5    	5    	
Vardas793           Pavarde793          2    	8    	1    	5    	1    	6    	2    	2    	4    	1    	4    	
Vardas794           Pavarde794          2    	6    	3    	1    	6    	10   	7    	4    	3    	6    	10   	
Vardas795           Pavarde795          4    	4    	6    	1    	9    	10   	2    	9    	7    	9    	10   	
Vardas796           Pavarde796          5    	5    	8    	6    	3    	1    	10   	3    	4    	1    	8    	
Vardas797           Pavarde797          9    	5    	1    	8    	5    	9    	4    	9    	9    	5    	7    	
Vardas798           Pavarde798          7    	2    	3    	9    	9    	4    	6    	4    	4    	10   	1    	
Vardas799           Pavarde799          8    	2    	3    	9    	2    	4    	8    	2    	1    	1    	2    	
Vardas800           Pavarde800          7    	3    	6    	1    	10   	9    	2    	6    	2    	9    	3    	
Vardas801           Pavarde801          3    	10   	9    	9    	10   	10   	6    	5    	3    	1    	2    	
Vardas802           Pavarde802          9    	5    	6    	2    	8    	5    	7    	3    	3    	9    	1    	
Vardas803           Pavarde803          4    	4    	1    	3    	1    	10   	9    	9    	2    	7    	6    	
Vardas804           Pavarde804          2    	8    	5    	3    	4    	10   	4    	7    	4    	10   	4    	
Vardas805           Pavarde805          3    	3    	3    	4    	1    	3    	7    	6    	9    	8    	10   	
Vardas806           Pavarde806          10   	4    	1    	2    	1    	5    	7    	6    	2    	7    	6    	
Vardas807           Pavarde807          10   	8    	4    	8    	8    	7    	5    	6    	3    	4    	5    	
Vardas808           Pavarde808          3    	9    	8    	7    	8    	2    	3    	7    	2    	5    	9    	
Vardas809           Pavarde809          6    	1    	3    	10   	1    	3    	2    	4    	2    	2    	7    	
Vardas810           Pavarde810          8    	7    	9    	10   	1    	7    	3    	7    	6    	10   	9    	
Vardas811           Pavarde811          2    	10   	4    	2    	8    	8    	1    	1    	4    	5    	1    	
Vardas812           Pavarde812          2    	6    	10   	4    	9    	6    	3    	8    	7    	3    	9    	
Vardas813           Pavarde813          4    	2    	7    	5    	3    	10   	9    	3    	4    	4    	2    	
Vardas814           Pavarde814          9    	10   	2    	6    	6    	1    	3    	4    	4    	7    	8    	
Vardas815           Pavarde815          6    	2    	3    	2    	1    	4    	6    	2    	6    	8    	10   	
Vardas816           Pavarde816          3    	2    	8    	7    	1    	7    	4    	10   	4    	9    	8    	
Vardas817           Pavarde817          6    	5    	7    	2    	7    	6    	3    	3    	9    	10   	6    	
Vardas818           Pavarde818          1    	8    	2    	3    	1    	8    	3    	2    	5    	2    	7    	
Vardas819           Pavarde819          3    	2    	8    	5    	3    	7    	3    	2    	10   	6    	8    	
Vardas820           Pavarde820          5    	1    	5    	8    	4    	10   	2    	6    	10   	5    	2    	
Vardas821           Pavarde821          2    	7    	8    	1    	4    	5    	1    	4    	8    	10   	2    	
Vardas822           Pavarde822          2    	7    	3    	8    	1    	2    	4    	10   	3    	3    	6    	
Vardas823           Pavarde823          2    	7    	10   	8    	10   	10   	9    	8    	8    	8    	10   	
Vardas824           Pavarde824          7    	8    	4    	10   	3    	2    	8    	1    	9    	5    	6    	
Vardas825           Pavarde825          5    	3    	1    	9    	3    	4    	9    	5    	1    	2    	2    	
Vardas826           Pavarde826          6    	8    	9    	4    	5    	2    	8    	2    	9    	3    	3    	
Vardas827           Pavarde827          6    	5    	2    	6    	10   	2    	3    	5    	6    	2    	9    	
Vardas828           Pavarde828          5    	9    	8    	9    	5    	3    	2    	5    	1    	9    	3    	
Vardas829           Pavarde829          4    	2    	1    	2    	1    	5    	1    	10   	1    	3    	5    	
Vardas830           Pavarde830          2    	9    	9    	1    	6    	10   	8    	4    	9    	10   	7    	
Vardas831           Pavarde831          4    	6    	1    	9    	7    	5    	3    	4    	9    	6    	4    	
Vardas832           Pavarde832          9    	1    	9    	8    	7    	2    	7    	9    	9    	2    	5    	
Vardas833           Pavarde833          2    	10   	4    	4    	3    	8    	2    	6    	5    	8    	10   	
Vardas834           Pavarde834          5    	5    	2    	3    	1    	10   	6    	9    	5    	5    	2    	
Vardas835           Pavarde835          9    	2    	5    	1    	7    	9    	8    	9    	9    	5    	4    	
Vardas836           Pavarde836          7    	8    	5    	6    	6    	4    	9    	6    	7    	9    	6    	
Vardas837           Pavarde837          7    	2    	1    	4    	1    	5    	2    	2    	9    	10   	2    	
Vardas838           Pavarde838          9    	3    	3    	3    	2    	3    	2    	5    	5    	3    	6    	
Vardas839           Pavarde839          7    	10   	3    	1    	6    	6    	1    	5    	9    	10   	7    	
Vardas840           Pavarde840          7    	6    	7    	1    	3    	6    	4    	1    	1    	1    	10   	
Vardas841           Pavarde841          2    	5    	7    	2    	6    	5    	5    	10   	10   	5    	1    	
Vardas842           Pavarde842          3    	4    	4    	7    	8    	2    	2    	4    	7    	3    	7    	
Vardas843           Pavarde843          6    	9    	6    	6    	1    	7    	3    	10   	8    	9    	10   	
Vardas844           Pavarde844          9    	1    	7    	1    	7    	3    	9    	5    	1    	8    	5    	
Vardas845           Pavarde845          8    	8    	1    	8    	6    	9    	9    	3    	1    	4    	1    	
Vardas846           Pavarde846          7    	8    	10   	2    	10   	6    	9    	6    	7    	3    	7    	
Vardas847           Pavarde847          2    	10   	5    	4    	4    	10   	10   	3    	1    	1    	7    	
Vardas848           Pavarde848          1    	6    	5    	1    	9    	5    	5    	8    	8    	10   	6    	
Vardas849           Pavarde849          6    	3    	6    	9    	3    	5    	2    	4    	6    	2    	5    	
Vardas850           Pavarde850          8    	6    	6    	4    	2    	8    	4    	1    	3    	7    	9    	
Vardas851           Pavarde851          7    	5    	6    	10   	4    	5    	10   	5    	7    	5    	3    	
Vardas852           Pavarde852          5    	3    	4    	4    	2    	4    	1    	8    	10   	3    	2    	
Vardas853           Pavarde853          2    	10   	3    	3    	5    	5    	8    	7    	9    	6    	7    	
Vardas854           Pavarde854          4    	2    	6    	7    	4    	9    	6    	5    	10   	4    	3    	
Vardas855           Pavarde855          10   	4    	2    	1    	2    	4    	5    	7    	7    	6    	6    	
Vardas856           Pavarde856          6    	3    	10   	5    	4    	9    	2    	2    	3    	5    	8    	
Vardas857           Pavarde857          7    	4    	5    	7    	10   	2    	5    	5    	3    	10   	7    	
Vardas858           Pavarde858          6    	2    	10   	1    	2    	5    	1    	1    	5    	10   	9    	
Vardas859           Pavarde859          5    	8    	2    	5    	2    	6    	9    	6    	7    	9    	5    	
Vardas860           Pavarde860          9    	5    	3    	8    	8    	8    	8    	3    	10   	7    	6    	
Vardas861           Pavarde861          4    	1    	9    	2    	9    	1    	3    	1    	6    	7    	4    	
Vardas862           Pavarde862          1    	8    	5    	6    	2    	7    	5    	6    	4    	4    	3    	
Vardas863           Pavarde863          3    	7    	4    	10   	3    	8    	4    	7    	4    	5    	5    	
Vardas864           Pavarde864          8    	5    	6    	3    	1    	4    	6    	8    	8    	10   	7    	
Vardas865           Pavarde865          4    	7    	8    	7    	5    	1    	10   	3    	2    	8    	3    	
Vardas866           Pavarde866          3    	10   	4    	6    	8    	2    	4    	7    	2    	5    	1    	
Vardas867           Pavarde867          6    	1    	6    	4    	7    	9    	1    	8    	3    	3    	10   	
Vardas868           Pavarde868          10   	1    	4    	1    	6    	8    	10   	9    	3    	7    	6    	
Vardas869           Pavarde869          10   	5    	5    	4    	6    	9    	8    	5    	8    	4    	10   	
Vardas870           Pavarde870          6    	9    	6    	6    	3    	1    	3    	3    	2    	7    	1    	
Vardas871           Pavarde871          5    	8    	5    	7    	4    	4    	3    	7    	10   	4    	5    	
Vardas872           Pavarde872          5    	8    	10   	2    	9    	6    	8    	1    	9    	9    	4    	
Vardas873           Pavarde873          8    	10   	1    	5    	10   	3    	5    	8    	3    	9    	6    	
Vardas874           Pavarde874          2    	4    	6    	8    	6    	4    	6    	2    	3    	5    	9    	
Vardas875           Pavarde875          9    	5    	8    	4    	5    	2    	6    	3    	9    	7    	1    	
Vardas876           Pavarde876          5    	4    	7    	9    	8    	2    	7    	2    	1    	8    	2    	
Vardas877           Pavarde877          10   	7    	2    	5    	5    	4    	6    	3    	2    	5    	9    	
Vardas878           Pavarde878          2    	2    	1    	6    	6    	10   	10   	9    	1    	1    	3    	
Vardas879           Pavarde879          7    	5    	6    	9    	9    	1    	7    	10   	7    	3    	6    	
Vardas880           Pavarde880          5    	7    	3    	4    	2    	6    	1    	4    	10   	6    	9    	
Vardas881           Pavarde881          3    	2    	4    	9    	5    	7    	10   	3    	1    	9    	9    	
Vardas882           Pavarde882          6    	7    	1    	3    	7    	8    	9    	2    	7    	9    	10   	
Vardas883           Pavarde883          2    	9    	8    	9    	8    	3    	3    	1    	9    	10   	7    	
Vardas884           Pavarde884          5    	2    	4    	2    	5    	4    	2    	10   	1    	4    	4    	
Vardas885           Pavarde885          10   	6    	5    	10   	10   	9    	10   	3    	7    	7    	5    	
Vardas886           Pavarde886          6    	8    	5    	9    	10   	7    	6    	6    	7    	5    	5    	
Vardas887           Pavarde887          6    	9    	4    	7    	5    	3    	9    	7    	10   	8    	5    	
